Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
LGOIR-LIQUID/MACHINERY1,COOL CUT METAL CUTTING LUBRICANT/LUBRIFIANT DE COUPE POUR METAUX,USINE,26,,,30,0.86666667,ETOPC,XX,,,N/A,,
18-KEBO-POU-23-BC,KERABOND WHITE,CHANTIER,35,,,30,1.16666667,E1L,XX,,,PROSOL,46086,
LGOIR-LIQUID2,"KERALASTIC (7,5L)",CHANTIER,2,,,1,2,E1L,XX,,,N/A,,
18-KELA-LIQ-19-BC,KERALASTIC 5U.S GALS 18.9L,CHANTIER,12,,,10,1.2,E1L,XX,,,PROSOL,46093,
LGOIR-LITTLE PIECE /SECURITY4,CAMS,ASSEMBLAGE,9690,,,1500,6.46,E4L,XX,,,N/A,,
LGOIR-TAPE1,painter's tape blue,ASSEMBLAGE/USINE,22,,,16,1.375,E5L,XX,,,N/A,,
ANCHORPRESS,ANCHOR PRESS(DYNACAST),CHANTIER,8142,,,275,29.6072727,CONTAINEUR CHANTIER,XX,,,N/A,Waiting,
LGOIR-LIQUID4,Peinture Flat Black,MAGASINIER,1,,,6,0.16666667,E6C,XX,,,AD prevost,,
LGOIR-LIQUID PM823,Peinture gold,FINITION,11,,,12,0.91666667,E6C,XX,,,AD prevost,,
LGOIR-BETON1189,ANCRAGE # 3,CHANTIER,1085,,,12,90.4166667,X,XX,,,N/A,,
18-VCMC-832-12-XX,"VIS CMC NATUREL 8-32 X 1/2""",CHANTIER,0,,,7500,0,BOX 19,XX,,,N/A,,
LGOIR-BETON/MARBLE10,HILTI BOLT CHEVILLE KB-TZ2 1/2 X 3,CHANTIER,14,,,20,0.7,CONTAINER CHANTIER,XX,,,N/A,,
LGOIR-TOOL324,EXACTEAU,FINITION,5,,,12,0.41666667,ARMOIRE AVEC CLE T4,XX,,,N/A,,
LGOIR-LIQUID PM819,Peinture light bronze,FINITION,9,,,12,0.75,E6C,XX,,,AD prevost,,
LGOIR-RB5473,RUBAN POUR MARCHES,FINITION,1,,,12,0.08333333,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-LIQUID ANOSPEC546,Peinture medium bronze,FINITION,19,,,12,1.58333333,E6C,XX,,,AD prevost,,
LGOIR-LIQUID10,Peinture Or Metalique,FINITION,3,,,12,0.25,E6C,XX,,,N/A,,
LGOIR-LITTLE12413,"HEX DRIVE JOINT CONNECTOR CAP NUT 1/4""-20 UNC X 669""LONG STEEL PLATED",FINITION,63,,,1,63,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-SHIM316,SHIM JAUNE 3/16,CHANTIER,1200,,,100,12,E2C,XX,,,N/A,,
LGOIR-PLASTIC2, BIG BROWN PLASTIC PLUGS,CHANTIER,1356,,,400,3.39,E6R,XX,,,N/A,,
LGOIR-LIQUID13,Polythinner,ASSEMBLAGE/ EXTRUSION/USINE,2,,,1,2,E1C,XX,,,N/A,,
LGOIR-GAS1,PROPANE FOR FORKLIFT,USINE,4,,,1,4,DEHORS,XX,,,SUPERIEUR PROPANE,46101,
LGOIR-RUBBER1,Rouleaux de gaskets,ASSEMBLAGE,2,,,1,2,ETOPL,XX,,,N/A,,
