Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
18-CMCA-04S-21-06,"Extrusion 1 1/2"" - CMCA-04 - Standard 21,0' - Satin Clair",EXTRUSION,72,,,,0.24,BIN 2,XX,,,N/A,,
18-CMCA-04S-21-30,"Extrusion 1 1/2"" - CMCA-04 - Standard 21,0' - Bronze Antique",EXTRUSION,17,,,,0.05666667,BIN 2,XX,,,N/A,,
18-CMCA-05M-12-02,"Extrusion 0 5/8"" - CMCA-05 - Machiné 12"" - Light Bronze",EXTRUSION,4909,,,,16.3633333,BIN 2,XX,,,N/A,,
18-CMCA-05M-12-03,"Extrusion 0 5/8"" - CMCA-05 - Machiné 12"" - Dark Bronze",EXTRUSION,169,,,,0.56333333,BIN 2,XX,,,N/A,,
18-CMCA-05M-12-04,"Extrusion 0 5/8"" - CMCA-05 - Machiné 12"" - Gold",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-05M-12-06,"Extrusion 0 5/8"" - CMCA-05 - Machiné 12"" - Satin Clair",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-05M-18-02,"Extrusion 0 5/8"" - CMCA-05 - Machiné 18"" - Light Bronze",EXTRUSION,91,,,,0.30333333,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-01,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Mill Finish",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-02,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Light Bronze",EXTRUSION,813,,,,2.71,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-03,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Light Bronze",EXTRUSION,112,,,,0.37333333,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-04,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Gold",EXTRUSION,470,,,,1.56666667,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-05,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Champagne",EXTRUSION,2,,,,0.00666667,BIN 2,XX,,,N/A,,
18-CMCA-05S-10-06,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Satin Clair",EXTRUSION,47,,,,0.15666667,BIN 2,XX,,,N/A,,
18-CMCA-05X-12-02,"Extrusion 0 5/8"" - CMCA-05 - Coupe Interne SHOP 12"" - Light Bronze",EXTRUSION,524,,,,1.74666667,BIN 2,XX,,,N/A,,
18-CMCA-05X-12-04,"Extrusion 0 5/8"" - CMCA-05 - Coupe Interne SHOP 12"" - Gold",EXTRUSION,4,,,,0.01333333,BIN 2,XX,,,N/A,,
18-CMCA-25M-12-01,"Extrusion 0 5/8"" - CMCA-25 - Machiné 12"" - Mill Finish",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-25S-10-01,"Extrusion 0 5/8"" - CMCA-25 - Standard 10,5' - Mill Finish",EXTRUSION,935,,,,3.11666667,BIN 2,XX,,,N/A,,
18-CMCA-25S-10-21,"Extrusion 0 5/8"" - CMCA-25 - Standard 10,5' - Marbletech White Marble",EXTRUSION,38,,,,0.12666667,BIN 2,XX,,,N/A,,
18-CMCA-25S-10-24,"Extrusion 0 5/8"" - CMCA-25 - Standard 10,5' - Marbletech Arabescato",EXTRUSION,197,,,,0.65666667,BIN 2,XX,,,N/A,,
18-CMCA-25X-12-01,"Extrusion 0 5/8"" - CMCA-25 - Coupe Interne SHOP 12"" - Mill Finish",EXTRUSION,2213,,,,7.37666667,BIN 2,XX,,,N/A,,
18-CMCA-25X-24-01,"Extrusion 0 5/8"" - CMCA-25 - Coupe Interne SHOP 24"" - Mill Finish",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-26M-12-01,"Extrusion 0 5/8"" - CMCA-26 - Machiné 12"" - Mill Finish",EXTRUSION,3115,,,,10.3833333,BIN 2,XX,,,N/A,,
18-CMCA-26M-12-21,"Extrusion 0 5/8"" - CMCA-26 - Machiné 12"" - Marbletech White Marble",EXTRUSION,16,,,,0.05333333,BIN 2,XX,,,N/A,,
18-CMCA-26M-12-24,"Extrusion 0 5/8"" - CMCA-26 - Machiné 12"" - Marbletech Arabescato",EXTRUSION,87,,,,0.29,BIN 2,XX,,,N/A,,
18-CMCA-26M-14-01,"Extrusion 0 5/8"" - CMCA-26 - Machiné 14"" - Mill Finish",EXTRUSION,1661,,,,5.53666667,BIN 2,XX,,,N/A,,
18-CMCA-26M-20-24,"Extrusion 0 5/8"" - CMCA-26 - Machiné 20"" - Marbletech Arabescato",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-26S-10-01,"Extrusion 0 5/8"" - CMCA-26 - Standard 10,5' - Mill Finish",EXTRUSION,428,,,,1.42666667,BIN 2,XX,,,N/A,,
18-CMCA-26S-10-20,"Extrusion 0 5/8"" - CMCA-26 - Standard 10,5' - Marbletech Travertin",EXTRUSION,128,,,,0.42666667,BIN 2,XX,,,N/A,,
18-CMCA-26S-10-21,"Extrusion 0 5/8"" - CMCA-26 - Standard 10,5' - Marbletech White Marble",EXTRUSION,232,,,,0.77333333,BIN 2,XX,,,N/A,,
18-CMCA-26S-10-24,"Extrusion 0 5/8"" - CMCA-26 - Standard 10,5' - Marbletech Arabescato",EXTRUSION,19,,,,0.06333333,BIN 2,XX,,,N/A,,
18-CMCA-26X-12-01,"Extrusion 0 5/8"" - CMCA-26 - Coupe Interne SHOP 12"" - Mill Finish",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-26X-12-24,"Extrusion 0 5/8"" - CMCA-26 - Coupe Interne SHOP 12"" - Marbletech Arabescato",EXTRUSION,17,,,,0.05666667,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-02,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Light Bronze",EXTRUSION,21,,,,0.07,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-04,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Gold",EXTRUSION,14,,,,0.04666667,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-05,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Champagne",EXTRUSION,6,,,,0.02,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-06,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Satin Clair",EXTRUSION,6,,,,0.02,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-07,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Noir",EXTRUSION,4,,,,0.01333333,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-20,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Marbletech Travertin",EXTRUSION,14,,,,0.04666667,BIN 2,XX,,,N/A,,
18-CMCA-30S-10-21,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Marbletech White Marble",EXTRUSION,10,,,,0.03333333,BIN 2,XX,,,N/A,,
18-CMCA-30S-21-03,"Extrusion 45 DG - CMCA-30 - Standard 21,0' - Dark Bronze",EXTRUSION,75,,,,0.25,BIN 2,XX,,,N/A,,
18-CMCA-35S-21-01,"Extrusion 45 DG - CMCA-35 - Standard 21,0' - Mill Finish",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-35S-21-02,"Extrusion 0 5/8"" - CMCA-05 - Machiné 12"" - Light Bronze",EXTRUSION,0,,,,0,"BOX 48, BOX 49, BOX 50",XX,,,N/A,,
18-CMCA-35S-21-03,"Extrusion 45 DG - CMCA-35 - Standard 21,0' - Dark Bronze",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-40S-10-02,"Extrusion 1 1/4"" - CMCA-40 - Standard 10,5' - Light Bronze",EXTRUSION,25,,,,0.08333333,BIN 2,XX,,,N/A,,
18-CMCA-40S-10-06,"Extrusion 1 1/4"" - CMCA-40 - Standard 10,5' - Satin Clair",EXTRUSION,4,,,,0.01333333,BIN 2,XX,,,N/A,,
18-CMCA-40S-21-03,"Extrusion 1 1/4"" - CMCA-40 - Standard 21,0' - Dark Bronze",EXTRUSION,29,,,,0.09666667,BIN 2,XX,,,N/A,,
18-CMCA-40S-21-04,"Extrusion 1 1/4"" - CMCA-40 - Standard 21,0' - Gold",EXTRUSION,14,,,,0.04666667,BIN 2,XX,,,N/A,,
18-CMCA-40S-21-07,"Extrusion 1 1/4"" - CMCA-40 - Standard 21,0' - Noir",EXTRUSION,9,,,,0.03,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-01,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Mill Finish",EXTRUSION,298.1,,,,0.99366667,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-02,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Light Bronze",EXTRUSION,322.41,,,,1.0747,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-03,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Dark Bronze",EXTRUSION,8,,,,0.02666667,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-06,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Satin Clair",EXTRUSION,38,,,,0.12666667,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-07,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Noir",EXTRUSION,0.08,,,,0.00026667,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-20,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Marbletech Travertin",EXTRUSION,34,,,,0.11333333,BIN 2,XX,,,N/A,,
18-CMCA-50S-10-21,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Marbletech White Marble",EXTRUSION,4,,,,4,ARMOIRE AVEC CLE T2,XX,,,N/A,,
18-CMCA-50S-10-24,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Marbletech Arabescato",EXTRUSION,38,,,,0.12666667,BIN 2,XX,,,N/A,,
18-5005-410-0F-01,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 0F - Mill Finish",FEUILLES,30,,,,0.6,BIN 1,XX,,,N/A,,
18-5005-410-1F-02,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 1F - Light Bronze",FEUILLES,128,,,,2.56,BIN 1,XX,,,N/A,,
18-5005-410-1F-03,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 1F - Dark Bronze",FEUILLES,8,,,,0.16,BIN 1,XX,,,N/A,,
18-5005-410-1F-07,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 1F - Noir",FEUILLES,0,,,,0,BIN 1,XX,,,N/A,,
18-5005-410-1F-30,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 1F - Bronze Antique",FEUILLES,2,,,,0.04,BIN 1,XX,,,N/A,,
18-5005-410-2F-02,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 2F - Light Bronze",FEUILLES,131,,,,2.62,BIN 1,XX,,,N/A,,
18-5005-410-2F-04,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 2F - Gold",FEUILLES,18,,,,0.36,BIN 1,XX,,,N/A,,
18-5005-410-2F-06,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 2F - Satin Clair",FEUILLES,69,,,,1.38,BIN 1,XX,,,N/A,,
18-5005-410-2F-07,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 2F - Noir",FEUILLES,10,,,,0.2,BIN 1,XX,,,N/A,,
18-5052-451-2F-20,"Feuille Aluminium 5052 - 4,5' x 10,0' - 1/8"" - 2F - Marbletech Travertin",FEUILLES,27,,,,0.54,BIN 1,XX,,,N/A,,
18-5052-451-2F-21,"Feuille Aluminium 5052 - 4,5' x 10,0' - 1/8"" - 2F - Marbletech White Marble",FEUILLES,49,,,,0.98,BIN 1,XX,,,N/A,,
18-5052-451-2F-24,"Feuille Aluminium 5052 - 4,5' x 10,0' - 1/8"" - 2F - Marbletech Arabescato",FEUILLES,98,,,,1.96,BIN 1,XX,,,N/A,,
18-5052-510-0F-01,"Feuille Aluminium 5052 - 5,0' x 10,0' - 1/8"" - 0F - Mill Finish",FEUILLES,112,,,,2.24,BIN 1,XX,,,N/A,,
18-5210-510-0F-01,"Feuille Aluminium 5052 - 5,0' x 10,0' - 1/10"" - 0F - Mill Finish",FEUILLES,100,,,,2,BIN 1,XX,,,N/A,,
18-5526-410-0F-01,"Feuille Aluminium 5052 - 4,0' x 10,0' - 1/16"" - 0F - Mill Finish",FEUILLES,97,,,,1.94,BIN 1,XX,,,N/A,,
18-FILL-410-1F-02,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Light Bronze",FEUILLES,24,,,,0.48,BIN 1,XX,,,N/A,,
18-FILL-410-1F-03,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Dark Bronze",FEUILLES,59,,,,1.18,BIN 1,XX,,,N/A,,
18-TIGF-124-12-01,TIGE FILLETE - 10-24 X12.0' MILL FINISH,FINITION,137,,,,2.74,BIN1 TABLE,XX,,,FASTENAL,46085,
LGOIR-PASTE21,SILICONE  BRONZE DOWSIL,CHANTIER,20,,,,1.66666667,E3R,XX,,,VALTEC,,
LGOIR-TOOL45,HUSKY ROUND HEADED RACHET / CLE A DOUILLE A CLIQUET A TETE RONDE,ASSEMBLAGE,2,,,,0.00666667,ARMOIRE AVEC CLE T4,XX,,,N/A,,
LGOIR-UNION-6-MM,"RALLONGE DE TRASNFO 6"" M-M",ELECTRIQUE,206,,,,206,BIN 3,XX,,,N/A,,
LGOIR-TOOL4410,BITES DE TOURNEVIS CMC,CHANTIER,623,,,,623,BOX 27,XX,,,N/A,,
18-ROSE-PCI-40-47,"Rosette - Pyramidal Carré Intérieur - 4,0 PEGS - Noir",CHANTIER,49,,,,0.10888889,BOX 44,XX,,,N/A,,
18-ROSE-PCI-20-47,"Rosette - Pyramidal Carré Intérieur - 2,0 PEGS - Noir",CHANTIER,43,,,,0.09555556,BOX 44,XX,,,N/A,,
18-FILL-410-1F-05,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Champagne",FEUILLES,8,,,,0.16,BIN 1,XX,,,N/A,,
18-FILL-410-1F-06,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Satin Clair",FEUILLES,3,,,,0.06,BIN 1,XX,,,N/A,,
