Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-DRILL/SPARE17,TAP MECHE BLUE MERLIN 1/4-20,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,1434,5,100,0,,[]
LGOIR-SCIE/SPARE7,BI-METAL JIGSAW BLADES/LAMES DE SCIE SAUTEOUSE BIMETALLIQUES,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,1435,5,100,0,,[]
LGOIR-DRILL/SPARE18,# 29 HSS JOBBER DRILL(PLUS LONG),USINE,2,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,1436,5,100,0,,[]
LGOIR-DRILL/SPARE19,5/16 HSS JOBBER DRILL SPLIT POINT BLACK AND GOLD,USINE,10,0,0,1,10,ARMOIRE SANS CLE,XX,0,,N/A,,,1437,5,100,0,,[]
LGOIR-DRILL/SPARE20,MECHE 27,USINE,12,0,0,1,12,ARMOIRE SANS CLE,XX,0,,N/A,,,1438,5,100,0,,[]
LGOIR-DRILL/SPARE21,HSS DRILL FORET 7/32,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1439,5,100,0,,[]
LGOIR-DRILL/SPARE22,"MECHE BOSCH 1/8"" GOLD",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1440,5,100,0,,[]
LGOIR-DRILL/SPARE23,"MECHE BOSCH 5/64""",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1441,5,100,0,,[]
LGOIR-TOOL20,ALLEN KEYS,USINE,9,0,0,1,9,ARMOIRE SANS CLE,XX,0,,N/A,,,1442,5,100,0,,[]
LGOIR-DRILL24,COBALT JOBBER DRILL SPLIT POINT BLACK AND GOLD # 36,USINE,0,0,0,1,0,ARMOIRE SANS CLE,XX,0,,N/A,,,1443,5,100,0,,[]
LGOIR-SPARE1,SNAP-OFF BLADES/LAMES SECABLES,USINE,180,0,0,20,9,ARMOIRE SANS CLE,XX,0,,N/A,,,1444,5,100,0,,[]
LGOIR-TOOL21,TAPE MESURE & SPEED TAPE,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,1445,5,100,0,,[]
LGOIR-TOOL22,SUCE NOIR(VENTOUSE),USINE,46,0,0,1,46,ARMOIRE SANS CLE,XX,0,,N/A,,,1446,5,100,0,,[]
LGOIR-TOOL23,WIRE STRIPPING TOOL,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1447,5,100,0,,[]
LGOIR-TOOL24,SNAP RING PLIERS SET/JEU DE PINCES POUR ANNEAUX DE RETENU,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1448,5,100,0,,[]
LGOIR-TOOL25,SPEED ROLLER,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1449,5,100,0,,[]
LGOIR-ACCESORY1,DEBURRING BLADES,USINE,23,0,0,1,23,ARMOIRE SANS CLE,XX,0,,N/A,,,1450,5,100,0,,[]
LGOIR-DRILL/SPARE25,"ROUTER BIT/MECHE DE TOUPIE 3/8""",USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1451,5,100,0,,[]
LGOIR-DRILL/SPARE26,FRAISE A DEBOURER,USINE,6,0,0,1,6,ARMOIRE SANS CLE,XX,0,,N/A,,,1452,5,100,0,,[]
LGOIR-DRILL/SPARE27,MECHE # 28,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1453,5,100,0,,[]
LGOIR-LUBRICANT 3,LUBRICANT/PENETRANT WD-40,USINE,2,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,1454,5,100,0,,[]
